Company,Email
Castlery,help.sg@castlery.com
Ansys,support@ansys.com
Sharpie,WritingMediaRequest@newellco.com
Pilot,mktg@pilotpen.com.sg
Faber Castell,info@faber-castell.com.sg
Stabilo,sales@stabilo.com.sg
DeWalt,support.dewalt@sbdinc.com
Makita,salessupport2@makita.com.sg
Miluakee,enquiry@milwaukeetool.my
iFixit,support@ifixit.com
Herschel,shop@herschel.sg
Bellroy,support@bellroy.com
Stanley,stanleytools@stanleycustomercare.com
Autodesk,privacy.questions@autodesk.com
Unilever,DPO.sg@unilever.com
